date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,detected_language,sentiment,helpful_flag,clean_text
2024-09-06,Claim who accept.,sense include lot effect fill general relationship save security land record class democrat nearly recent,4,morrowthomas,30,105,Flipkart,ar,Nepal,3.8.4,No,en,positive,Helpful (>10),sense include lot effect fill general relationship save security land record class democrat nearly recent
2025-07-03,Growth pretty wish.,ask develop bag worker pass expert white arm similar compare manager action sure million crime member recognize past,4,sheakimberly,120,116,Flipkart,ar,Guinea,5.2.6,Yes,en,positive,Helpful (>10),ask develop bag worker pass expert white arm similar compare manager action sure million crime member recognize past
,What then spend offer reason whom none.,customer address region try near risk girl spring paper create offer end imagine blood authority family water,5,katherineali,130,109,Flipkart,es,Kuwait,3.6.5,No,en,positive,Helpful (>10),customer address region try near risk girl spring paper create offer end imagine blood authority family water
,Say dog drug enter director strong student.,television loss election small detail red son include good act strategy eat behavior purpose start away use live government especially water raise travel,1,eric11,72,153,Amazon,pt,Uruguay,5.7.2,No,en,negative,Helpful (>10),television loss election small detail red son include good act strategy eat behavior purpose start away use live government especially water raise travel
,Purpose here beyond.,pass share lot manage world worker exactly develop office approach son long maybe hour company recently ready,5,chloe42,123,109,Amazon,zh,Mayotte,5.8.6,No,en,positive,Helpful (>10),pass share lot manage world worker exactly develop office approach son long maybe hour company recently ready
,Care throw piece move firm main economy.,especially gas contain interest industry sell half conference capital office direction establish dog certainly change south computer,3,rosshannah,48,132,Flipkart,pt,Bahamas,4.3.6,Yes,en,neutral,Helpful (>10),especially gas contain interest industry sell half conference capital office direction establish dog certainly change south computer
2025-05-02,Maintain say threat high expert place certain.,live picture free guess night use election quickly paper officer practice mrs expect foot,3,daniellemcfarland,190,89,App Store,ja,Italy,4.2.7,Yes,en,neutral,Helpful (>10),live picture free guess night use election quickly paper officer practice mrs expect foot
,Share bar energy choice pressure those finally.,occur support author class direction fact environment popular know television guy minute late cold doctor edge season decision believe view list approach,2,joanramos,128,153,Website,zh,Brunei Darussalam,1.7.1,No,en,negative,Helpful (>10),occur support author class direction fact environment popular know television guy minute late cold doctor edge season decision believe view list approach
,Source kind hand employee field.,stuff agreement professional team foot live window music evening know wide recently opportunity lead theory policy training loss,1,millskatherine,184,128,Flipkart,ja,Burkina Faso,2.1.7,No,en,negative,Helpful (>10),stuff agreement professional team foot live window music evening know wide recently opportunity lead theory policy training loss
,Determine bad personal might son party.,light water local involve fall discuss nature country think join economic resource position,3,justin84,159,91,App Store,es,Isle of Man,3.8.6,No,en,neutral,Helpful (>10),light water local involve fall discuss nature country think join economic resource position
2025-09-06,Management game find.,consumer face pm pay evening performance fly charge wide win example account bed,4,dbolton,138,80,Google Play,pt,Qatar,1.3.4,Yes,en,positive,Helpful (>10),consumer face pm pay evening performance fly charge wide win example account bed
,List race fine follow pick.,form weight argue simply author consider time economic high actually window research window east yes current,1,garnerandrea,111,108,Google Play,es,British Virgin Islands,4.2.4,Yes,en,negative,Helpful (>10),form weight argue simply author consider time economic high actually window research window east yes current
2025-07-06,Before peace us young personal art popular.,police cup think tell design plan foot cold everybody build smile ok real read choice eat,1,martinezjesse,83,89,Google Play,hi,Micronesia,3.5.6,Yes,en,negative,Helpful (>10),police cup think tell design plan foot cold everybody build smile ok real read choice eat
,Here control affect task simply draw return.,south cover ready group care magazine join far couple cost girl run story trial attention choice fast enjoy happen a.,2,rlee,135,117,App Store,pt,Luxembourg,2.2.2,Yes,en,negative,Helpful (>10),south cover ready group care magazine join far couple cost girl run story trial attention choice fast enjoy happen a
,Guess sea three state.,child executive important focus benefit probably analysis visit condition blood court price moment red hand paper audience decade man threat bag song,5,colonjoseph,97,149,Website,de,Armenia,4.9.2,Yes,en,positive,Helpful (>10),child executive important focus benefit probably analysis visit condition blood court price moment red hand paper audience decade man threat bag song
,Society nearly measure price.,strong democratic mind big discuss country moment eat personal condition black police group learn professor,4,umahoney,163,107,Amazon,ar,Mayotte,3.0.7,No,en,positive,Helpful (>10),strong democratic mind big discuss country moment eat personal condition black police group learn professor
,Try memory number occur behind.,include plan step food drive nation heart nearly season growth language risk work military year feel develop talk state ready,5,ikelly,40,125,Google Play,ar,Estonia,3.9.4,No,en,positive,Helpful (>10),include plan step food drive nation heart nearly season growth language risk work military year feel develop talk state ready
,Indicate test thank dinner present own.,economic feel notice design baby foot lot major reflect standard organization feel room office bad argue girl,3,walterscrystal,116,109,Amazon,de,Austria,4.7.1,Yes,en,neutral,Helpful (>10),economic feel notice design baby foot lot major reflect standard organization feel room office bad argue girl
,Nice maintain present cultural pattern save east.,american music change maybe determine rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,4,adamsrussell,146,147,Amazon,pt,Poland,3.4.0,No,en,positive,Helpful (>10),american music change maybe determine rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven
